OK,Funny,Ingenious,Longwinded,Persuasive,Courageous,Jaw-dropping,Unconvincing,Inspiring,Informative,Fascinating,Beautiful,Obnoxious,Confusing,url
69,244,70,61,158,79,97,152,121,460,356,20,19,14,"https://www.ted.com/talks/stephen_petranek_counts_down_to_armageddon
"
31,111,165,70,13,18,34,12,148,111,140,31,3,13,"https://www.ted.com/talks/paul_maccready_flies_on_solar_wings
"
108,47,73,61,78,65,4971,25,1166,880,1768,1224,24,15,"https://www.ted.com/talks/carolyn_porco_flies_us_to_saturn
"
533,307,229,73,13,41,1153,200,125,9,562,414,110,67,"https://www.ted.com/talks/kenichi_ebina_s_magic_moves
"
72,230,55,57,44,150,55,33,700,252,367,46,12,7,"https://www.ted.com/talks/richard_branson_s_life_at_30_000_feet
"
60,33,297,25,20,27,106,64,173,278,448,31,11,42,"https://www.ted.com/talks/hod_lipson_builds_self_aware_robots
"
67,263,49,118,7,28,15,67,144,25,121,138,28,160,"https://www.ted.com/talks/maira_kalman_the_illustrated_woman
"
154,26,111,190,49,19,29,166,211,454,249,16,21,128,"https://www.ted.com/talks/jan_chipchase_on_our_mobile_phones
"
107,673,1458,52,423,77,1775,31,969,2402,3847,215,15,25,"https://www.ted.com/talks/vilayanur_ramachandran_on_your_mind
"
31,1,47,38,73,137,31,27,177,222,78,29,3,8,"https://www.ted.com/talks/elene_gabre_madhin_on_ethiopian_economics
"
44,95,37,54,128,1417,121,39,1286,453,466,308,28,16,"https://www.ted.com/talks/sherwin_nuland_on_electroshock_therapy
"
268,400,106,245,618,194,139,88,3774,863,1170,1621,28,109,"https://www.ted.com/talks/matthieu_ricard_on_the_habits_of_happiness
"
89,254,344,76,2163,423,157,76,1074,1014,589,91,41,35,"https://www.ted.com/talks/larry_lessig_says_the_law_is_strangling_creativity
"
40,34,195,9,9,12,98,23,64,140,261,15,9,65,"https://www.ted.com/talks/paul_rothemund_casts_a_spell_with_dna
"
61,30,184,57,1352,262,77,129,166,680,300,14,43,43,"https://www.ted.com/talks/david_keith_s_surprising_ideas_on_climate_change
"
69,30,186,71,1008,79,63,115,246,551,282,11,37,81,"https://www.ted.com/talks/juan_enriquez_wants_to_grow_energy
"
44,2,14,94,48,56,28,104,207,171,57,28,9,19,"https://www.ted.com/talks/larry_brilliant_makes_the_case_for_optimism
"
21,51,310,13,26,9,116,7,228,262,513,78,14,4,"https://www.ted.com/talks/robert_full_on_animal_movement
"
51,73,412,19,102,39,954,38,365,657,1137,317,15,45,"https://www.ted.com/talks/ron_eglash_on_african_fractals
"
129,855,216,192,88,175,68,165,711,103,334,201,67,276,"https://www.ted.com/talks/philippe_starck_thinks_deep_on_design
"
114,296,120,57,115,42,50,53,297,509,483,372,13,55,"https://www.ted.com/talks/murray_gell_mann_on_beauty_and_truth_in_physics
"
46,40,254,45,375,63,123,67,333,620,221,10,17,38,"https://www.ted.com/talks/amory_lovins_on_winning_the_oil_endgame
"
314,2152,1944,114,128,182,7196,84,817,340,3710,429,151,168,"https://www.ted.com/talks/arthur_benjamin_does_mathemagic
"
140,38,48,67,255,111,30,59,830,515,246,233,12,39,"https://www.ted.com/talks/daniel_goleman_on_compassion
"
75,13,11,13,53,82,5,45,288,12,25,330,18,9,"https://www.ted.com/talks/lakshmi_pratury_on_letter_writing
"
378,1210,422,70,1414,598,82,238,1035,960,371,78,37,61,"https://www.ted.com/talks/gever_tulley_on_5_dangerous_things_for_kids
"
140,1302,292,58,899,1696,426,82,3528,447,916,1148,63,28,"https://www.ted.com/talks/isabel_allende_tells_tales_of_passion
"
143,1452,114,34,44,84,39,74,34,120,40,18,94,16,"https://www.ted.com/talks/yossi_vardi_fights_local_warming
"
114,41,154,61,42,19,74,10,120,868,884,65,4,16,"https://www.ted.com/talks/deborah_gordon_digs_ants
"
252,1512,406,150,140,92,185,84,1454,453,907,177,80,84,"https://www.ted.com/talks/j_j_abrams_mystery_box
"
322,815,543,79,236,216,8328,80,1647,3875,8448,5201,126,95,"https://www.ted.com/talks/david_gallo_shows_underwater_astonishments
"
83,9,29,68,41,12,7,43,111,138,82,59,20,27,"https://www.ted.com/talks/paola_antonelli_treats_design_as_art
"
139,100,23,161,8,14,12,45,127,90,68,49,36,30,"https://www.ted.com/talks/frank_gehry_asks_then_what
"
30,6,26,0,0,29,71,3,134,3,62,240,0,0,"https://www.ted.com/talks/raul_midon_plays_all_the_answers_and_tembererana
"
